,Unnamed: 0,Subdistcode,Subdistrict,Districtcode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
281,279,3033,Ranapur ,385,122759,63026,59733,9463,10676,12021,10851,10453,10557,9321,9326,7877,6890,5582,5037,5190,3414,2766,1426,1698,200
282,280,3034,Bolagad ,386,60663,31314,29349,4436,5012,5499,5691,6011,5665,5007,4873,4153,3566,2791,2242,1962,1285,1054,550,666,191
283,281,3035,Begunia,386,64920,33224,31696,4747,5364,5885,6090,6433,6062,5359,5215,4444,3817,2987,2399,2100,1376,1128,588,712,204
284,282,3036,Khordha ,386,93525,48341,45184,6839,7728,8478,8774,9268,8733,7720,7514,6403,5498,4303,3457,3025,1982,1625,848,1026,295
285,283,3037,Khordha Sadar,386,41451,21166,20285,3031,3425,3757,3889,4107,3870,3421,3330,2838,2437,1907,1532,1340,878,720,376,455,130
286,284,3038,Chandaka,386,37059,18954,18105,2710,3062,3359,3476,3672,3460,3059,2977,2537,2178,1705,1369,1198,785,643,336,406,116
287,285,3039,Nandankanan,386,11805,6037,5768,863,975,1070,1107,1169,1102,974,948,808,694,543,436,381,250,205,107,129,37
288,286,3041,Mancheswar,386,3418,1747,1671,249,282,309,320,338,319,282,274,234,200,157,126,110,72,59,31,37,10
289,287,3042,Balianta ,386,61286,31337,29949,4481,5064,5555,5749,6073,5723,5059,4923,4196,3603,2820,2265,1982,1299,1064,555,672,193
290,288,3043,Balipatna,386,88726,45352,43374,6488,7331,8043,8324,8792,8285,7324,7128,6074,5216,4083,3279,2870,1880,1541,804,974,279
291,289,3044,Lingaraj,386,125,66,59,9,10,11,11,12,11,10,10,8,7,5,4,4,2,2,1,1,0
292,290,3045,Airfield (Kapila Prasad),386,8983,4651,4332,656,742,814,842,890,838,741,721,615,528,413,332,290,190,156,81,98,28
293,291,3046,Uttara P.S ,386,8645,4405,4240,632,714,783,811,856,807,713,694,591,508,397,319,279,183,150,78,94,27
294,292,3047,Khandagiri ,386,1718,885,833,125,141,155,161,170,160,141,138,117,101,79,63,55,36,29,15,18,5
295,293,3048,Tamando ,386,10960,5611,5349,801,905,993,1028,1086,1023,904,880,750,644,504,405,354,232,190,99,120,34
296,294,3049,Jatani,386,84456,43119,41337,6176,6979,7655,7923,8369,7887,6972,6785,5782,4965,3886,3121,2732,1790,1467,766,927,266
297,295,3050,Jankia ,386,56530,28879,27651,4134,4671,5124,5303,5602,5279,4666,4541,3870,3323,2601,2089,1828,1198,982,512,620,178
298,296,3051,Nirakarpur,386,25375,13039,12336,1855,2096,2300,2380,2514,2369,2094,2038,1737,1491,1167,938,820,537,440,230,278,80
299,297,3052,Tangi,386,101582,51887,49695,7428,8394,9208,9530,10066,9486,8385,8161,6955,5972,4674,3755,3286,2153,1765,921,1115,320
300,298,3053,Balugaon,386,76006,39125,36881,5558,6280,6889,7131,7532,7097,6274,6106,5203,4468,3497,2809,2458,1611,1320,689,834,239
301,299,3054,Banapur,386,75641,37942,37699,5531,6250,6856,7096,7495,7063,6244,6077,5179,4447,3480,2796,2446,1603,1314,686,830,238
302,300,3055,Bhubaneswar (M.Corp.),386,591550,312719,278831,43260,48882,53624,55500,58622,55242,48834,47526,40502,34780,27222,21867,19136,12539,10279,5366,6494,1866
303,301,3056,Delanga,387,84213,42618,41595,5993,6770,8002,7649,8050,7563,6481,6430,5749,5005,3955,3137,3023,2193,1883,1007,1091,223
304,302,3057,Pipili ,387,123094,62900,60194,8760,9896,11696,11180,11766,11055,9474,9400,8404,7317,5782,4586,4419,3206,2753,1472,1595,326
305,303,3058,Nimapada,387,160380,81384,78996,11414,12893,15239,14567,15331,14403,12343,12247,10950,9533,7533,5975,5757,4178,3587,1918,2078,424
306,304,3059,Kakatpur,387,77459,39427,38032,5512,6227,7360,7035,7404,6956,5961,5915,5288,4604,3638,2886,2780,2017,1732,926,1004,205
307,305,3060,Astaranga,387,52202,26478,25724,3715,4196,4960,4741,4990,4688,4017,3986,3564,3103,2452,1944,1874,1359,1167,624,676,138
308,306,3061,Konark,387,42378,21603,20775,3016,3407,4026,3849,4051,3805,3261,3236,2893,2519,1990,1578,1521,1103,947,506,549,112
309,307,3062,Gop,387,93748,47511,46237,6672,7537,8908,8515,8961,8419,7215,7159,6400,5572,4403,3492,3365,2442,2096,1121,1215,248
310,308,3063,Ramachandi,387,17360,8802,8558,1235,1395,1649,1576,1659,1559,1336,1325,1185,1031,815,646,623,452,388,207,225,45
311,309,3064,Satyabadi,387,151132,76745,74387,10756,12150,14360,13727,14447,13573,11631,11541,10318,8983,7099,5631,5425,3937,3380,1807,1958,400
312,310,3065,Chandanpur ,387,67771,34578,33193,4823,5448,6439,6155,6478,6086,5216,5175,4627,4028,3183,2525,2433,1765,1515,810,878,179
313,311,3066,Sadar ,387,83014,42168,40846,5908,6674,7888,7540,7935,7455,6389,6339,5667,4934,3899,3093,2980,2162,1856,992,1076,219
314,312,3067,Brahmagiri,387,101958,51632,50326,7256,8197,9688,9260,9746,9156,7847,7786,6961,6060,4789,3798,3660,2656,2280,1219,1321,270
315,313,3068,Gadisagada,387,55378,27938,27440,3941,4452,5262,5029,5293,4973,4262,4228,3781,3291,2601,2063,1988,1442,1238,662,717,146
