,State,Districtcode,Subdistcode,Town/Village,Ward,EB,Level,Subdistrict,TRU,No_HH,Population,Males,Females,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
305,21,387,3060,0,0,0,SUB-DISTRICT,Astaranga,Total,15714,67748,34363,33385,6541,3464,3077,19600,9955,9645,37,23,14,50650,28010,22640,17098,6353,10745,28029,19488,8541,16991,14298,2693,7110,6319,791,3266,2382,884,478,421,57,6137,5176,961,11038,5190,5848,2104,1187,917,4851,2351,2500,574,273,301,3509,1379,2130,9099,4475,4624,1732,1011,721,4071,2034,2037,484,238,246,2812,1192,1620,1939,715,1224,372,176,196,780,317,463,90,35,55,697,187,510,39719,14875,24844
306,21,387,3061,0,0,0,SUB-DISTRICT,Konark,Total,11860,54999,28037,26962,5258,2732,2526,12285,6241,6044,478,266,212,41468,22493,18975,13531,5544,7987,20628,16100,4528,14105,12656,1449,6020,5768,252,1753,1413,340,299,282,17,6033,5193,840,6523,3444,3079,1206,617,589,2948,1677,1271,188,121,67,2181,1029,1152,5623,3045,2578,936,470,466,2695,1568,1127,174,114,60,1818,893,925,900,399,501,270,147,123,253,109,144,14,7,7,363,136,227,34371,11937,22434
307,21,387,3062,0,0,0,SUB-DISTRICT,Gop,Total,27880,121665,61659,60006,12015,6298,5717,26897,13572,13325,88,46,42,92081,49894,42187,29584,11765,17819,43901,36076,7825,31146,27928,3218,12813,12486,327,7477,6102,1375,644,576,68,10212,8764,1448,12755,8148,4607,1708,1238,470,6738,4459,2279,550,297,253,3759,2154,1605,10714,7178,3536,1373,1026,347,5771,3997,1774,441,262,179,3129,1893,1236,2041,970,1071,335,212,123,967,462,505,109,35,74,630,261,369,77764,25583,52181
308,21,387,3063,0,0,0,SUB-DISTRICT,Ramachandi,Total,4805,22531,11424,11107,2283,1210,1073,4674,2364,2310,93,49,44,16939,9121,7818,5592,2303,3289,7364,6466,898,6002,5540,462,2585,2542,43,1445,1291,154,184,173,11,1788,1534,254,1362,926,436,304,207,97,803,564,239,15,7,8,240,148,92,1255,882,373,281,192,89,732,540,192,14,6,8,228,144,84,107,44,63,23,15,8,71,24,47,1,1,0,12,4,8,15167,4958,10209
309,21,387,3064,0,0,0,SUB-DISTRICT,Satyabadi,Total,43350,196136,99599,96537,20366,10523,9843,37585,19044,18541,533,289,244,149425,81266,68159,46711,18333,28378,73081,57861,15220,50197,45332,4865,19692,18928,764,11453,10348,1105,1781,1266,515,17271,14790,2481,22884,12529,10355,3691,2107,1584,12368,6951,5417,1380,532,848,5445,2939,2506,18383,10494,7889,2743,1604,1139,10299,5985,4314,849,348,501,4492,2557,1935,4501,2035,2466,948,503,445,2069,966,1103,531,184,347,953,382,571,123055,41738,81317
310,21,387,3065,0,0,0,SUB-DISTRICT,Chandanpur ,Total,18007,87953,44875,43078,9684,5019,4665,16839,8490,8349,734,377,357,63987,35503,28484,23966,9372,14594,31390,26411,4979,22690,20819,1871,8225,7953,272,5081,4513,568,812,683,129,8572,7670,902,8700,5592,3108,923,730,193,4721,3115,1606,592,289,303,2464,1458,1006,7329,5044,2285,793,643,150,4029,2886,1143,423,221,202,2084,1294,790,1371,548,823,130,87,43,692,229,463,169,68,101,380,164,216,56563,18464,38099
311,21,387,3066,0,0,0,SUB-DISTRICT,Sadar ,Total,22367,107735,54725,53010,11483,5866,5617,17833,8981,8852,248,135,113,78713,43494,35219,29022,11231,17791,37893,31708,6185,28701,25795,2906,10724,10332,392,5542,4785,757,1215,977,238,11220,9701,1519,9192,5913,3279,1227,1079,148,4819,2729,2090,628,373,255,2518,1732,786,7518,5160,2358,1049,941,108,3852,2410,1442,456,275,181,2161,1534,627,1674,753,921,178,138,40,967,319,648,172,98,74,357,198,159,69842,23017,46825
312,21,387,3067,0,0,0,SUB-DISTRICT,Brahmagiri,Total,27308,132319,67008,65311,14543,7358,7185,24775,12462,12313,633,281,352,99136,54125,45011,33183,12883,20300,50908,38539,12369,30674,27235,3439,13213,12395,818,4234,3655,579,1266,941,325,11961,10244,1717,20234,11304,8930,4128,2348,1780,9770,5838,3932,889,387,502,5447,2731,2716,14645,8955,5690,3202,2009,1193,6850,4546,2304,612,290,322,3981,2110,1871,5589,2349,3240,926,339,587,2920,1292,1628,277,97,180,1466,621,845,81411,28469,52942
313,21,387,3068,0,0,0,SUB-DISTRICT,Gadisagada,Total,14623,71870,36258,35612,8206,4228,3978,8840,4494,4346,53,30,23,53859,29603,24256,18011,6655,11356,20853,19481,1372,15667,14821,846,7534,7391,143,2474,2362,112,411,367,44,5248,4701,547,5186,4660,526,896,826,70,2898,2770,128,176,155,21,1216,909,307,4551,4076,475,809,745,64,2504,2401,103,165,146,19,1073,784,289,635,584,51,87,81,6,394,369,25,11,9,2,143,125,18,51017,16777,34240
314,21,387,3069,0,0,0,SUB-DISTRICT,Krushna Prasad ,Total,12088,57505,29617,27888,6553,3422,3131,13740,6915,6825,186,174,12,41533,23358,18175,15972,6259,9713,19474,15639,3835,10832,9721,1111,3645,3547,98,1604,1486,118,200,185,15,5383,4503,880,8642,5918,2724,2063,1654,409,3589,2485,1104,174,94,80,2816,1685,1131,6766,4871,1895,1740,1449,291,2805,2032,773,157,83,74,2064,1307,757,1876,1047,829,323,205,118,784,453,331,17,11,6,752,378,374,38031,13978,24053
